"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004-02","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","4133","","","","0"
"2004-03","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3368","","","","0"
"2004-04","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3322","","","","0"
"2004-05","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3693","","","","0"
"2004-06","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","4322","","","","0"
"2004-07","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","4624","","","","0"
"2004-08","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","4732","","","","0"
"2004-09","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","4603","","","","0"
"2004-10","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","4300","","","","0"
"2004-11","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","4166","","","","0"
"2004-12","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3803","","","","0"
"2005-01","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3619","","","","0"
"2005-02","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3219","","","","0"
"2005-03","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3058","","","","0"
"2005-04","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3295","","","","0"
"2005-05","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","3826","","","","0"
"2005-06","Atlantic provinces","2016A00011","Units","300","units","0","v15819048","2","4125","","","","0"
